Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length,Relative Time
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930514.334802
192.168.29.59,74.125.250.247,UDP,63474,3478,162,1750930515.601366
74.125.250.247,192.168.29.59,UDP,3478,63474,106,1750930515.629509
192.168.29.59,79.133.171.13,TCP,62904,443,66,1750930516.056282
79.133.171.13,192.168.29.59,TCP,443,62904,58,1750930516.247315
192.168.29.59,79.133.171.13,TCP,62904,443,54,1750930516.247649
192.168.29.59,79.133.171.13,TCP,62904,443,625,1750930516.248845
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930516.382221
79.133.171.13,192.168.29.59,TCP,443,62904,204,1750930516.439263
192.168.29.59,79.133.171.13,TCP,62904,443,105,1750930516.439873
192.168.29.59,79.133.171.13,TCP,62904,443,107,1750930516.440116
192.168.29.59,79.133.171.13,TCP,62904,443,110,1750930516.440183
192.168.29.59,79.133.171.13,TCP,62904,443,96,1750930516.440244
192.168.29.59,79.133.171.13,TCP,62904,443,252,1750930516.440336
192.168.29.59,79.133.171.13,TCP,62904,443,1514,1750930516.440433
192.168.29.59,79.133.171.13,TCP,62904,443,1514,1750930516.440433
192.168.29.59,79.133.171.13,TCP,62904,443,934,1750930516.440433
79.133.171.13,192.168.29.59,TCP,443,62904,54,1750930516.631188
79.133.171.13,192.168.29.59,TCP,443,62904,145,1750930516.632314
79.133.171.13,192.168.29.59,TCP,443,62904,231,1750930516.632781
192.168.29.59,79.133.171.13,TCP,62904,443,92,1750930516.633074
192.168.29.59,79.133.171.13,TCP,62904,443,54,1750930516.679898
79.133.171.13,192.168.29.59,TCP,443,62904,54,1750930516.865583
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930518.430591
192.168.29.14,224.0.0.251,UDP,5353,5353,100,1750930519.454257
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930520.478455
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930522.528298
192.168.29.59,52.182.143.213,TCP,62905,443,66,1750930523.310877
52.182.143.213,192.168.29.59,TCP,443,62905,66,1750930523.575498
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930523.575855
192.168.29.59,52.182.143.213,TCP,62905,443,611,1750930523.584326
52.182.143.213,192.168.29.59,TCP,443,62905,1514,1750930523.854367
52.182.143.213,192.168.29.59,TCP,443,62905,1514,1750930523.854367
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930523.854651
192.168.29.59,52.182.143.213,TCP,62905,443,66,1750930523.854787
52.182.143.213,192.168.29.59,TCP,443,62905,1514,1750930523.855121
192.168.29.59,52.182.143.213,TCP,62905,443,66,1750930523.855288
52.182.143.213,192.168.29.59,TCP,443,62905,617,1750930523.85578
192.168.29.59,52.182.143.213,TCP,62905,443,66,1750930523.855895
52.182.143.213,192.168.29.59,TCP,443,62905,1514,1750930523.856054
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930523.856171
192.168.29.59,52.182.143.213,TCP,62905,443,134,1750930523.894386
192.168.29.59,52.182.143.213,TCP,62905,443,504,1750930523.894505
192.168.29.59,52.182.143.213,TCP,62905,443,677,1750930523.894536
52.182.143.213,192.168.29.59,TCP,443,62905,54,1750930524.152456
52.182.143.213,192.168.29.59,TCP,443,62905,157,1750930524.15279
52.182.143.213,192.168.29.59,TCP,443,62905,101,1750930524.15279
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930524.15305
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930524.153226
52.182.143.213,192.168.29.59,TCP,443,62905,54,1750930524.153536
52.182.143.213,192.168.29.59,TCP,443,62905,574,1750930524.155281
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930524.155551
192.168.29.59,192.168.29.1,TCP,62906,53,66,1750930524.562538
192.168.29.59,192.168.29.1,TCP,62907,53,66,1750930524.562838
192.168.29.59,192.168.29.1,TCP,62908,53,66,1750930524.563056
192.168.29.1,192.168.29.59,TCP,53,62906,66,1750930524.578943
192.168.29.1,192.168.29.59,TCP,53,62907,66,1750930524.578943
