Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length,Relative Time,cluster,dbscan_cluster,anomaly
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930514.334802,0,0,1
192.168.29.59,74.125.250.247,UDP,63474,3478,162,1750930515.601366,0,0,1
74.125.250.247,192.168.29.59,UDP,3478,63474,106,1750930515.629509,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,66,1750930516.056282,0,0,1
79.133.171.13,192.168.29.59,TCP,443,62904,58,1750930516.247315,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,54,1750930516.247649,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,625,1750930516.248845,0,0,1
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930516.382221,0,0,1
79.133.171.13,192.168.29.59,TCP,443,62904,204,1750930516.439263,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,105,1750930516.439873,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,107,1750930516.440116,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,110,1750930516.440183,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,96,1750930516.440244,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,252,1750930516.440336,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,1514,1750930516.440433,1,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,1514,1750930516.440433,1,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,934,1750930516.440433,1,0,-1
79.133.171.13,192.168.29.59,TCP,443,62904,54,1750930516.631188,0,0,1
79.133.171.13,192.168.29.59,TCP,443,62904,145,1750930516.632314,0,0,1
79.133.171.13,192.168.29.59,TCP,443,62904,231,1750930516.632781,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,92,1750930516.633074,0,0,1
192.168.29.59,79.133.171.13,TCP,62904,443,54,1750930516.679898,0,0,1
79.133.171.13,192.168.29.59,TCP,443,62904,54,1750930516.865583,0,0,1
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930518.430591,0,0,1
192.168.29.14,224.0.0.251,UDP,5353,5353,100,1750930519.454257,0,0,1
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930520.478455,0,0,1
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930522.528298,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,66,1750930523.310877,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,66,1750930523.575498,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930523.575855,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,611,1750930523.584326,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,1514,1750930523.854367,1,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,1514,1750930523.854367,1,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930523.854651,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,66,1750930523.854787,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,1514,1750930523.855121,1,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,66,1750930523.855288,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,617,1750930523.85578,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,66,1750930523.855895,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,1514,1750930523.856054,1,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930523.856171,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,134,1750930523.894386,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,504,1750930523.894505,0,0,-1
192.168.29.59,52.182.143.213,TCP,62905,443,677,1750930523.894536,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,54,1750930524.152456,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,157,1750930524.15279,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,101,1750930524.15279,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930524.15305,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930524.153226,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,54,1750930524.153536,0,0,1
52.182.143.213,192.168.29.59,TCP,443,62905,574,1750930524.155281,0,0,1
192.168.29.59,52.182.143.213,TCP,62905,443,54,1750930524.155551,0,0,1
192.168.29.59,192.168.29.1,TCP,62906,53,66,1750930524.562538,0,0,1
192.168.29.59,192.168.29.1,TCP,62907,53,66,1750930524.562838,0,0,1
192.168.29.59,192.168.29.1,TCP,62908,53,66,1750930524.563056,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62906,66,1750930524.578943,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62907,66,1750930524.578943,0,0,1
192.168.29.178,192.168.29.255,UDP,42152,5775,86,1750930524.578943,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62908,66,1750930524.578943,0,0,1
192.168.29.59,192.168.29.1,TCP,62906,53,54,1750930524.579304,0,0,1
192.168.29.59,192.168.29.1,TCP,62907,53,54,1750930524.579414,0,0,1
192.168.29.59,192.168.29.1,TCP,62908,53,54,1750930524.579449,0,0,1
192.168.29.59,192.168.29.1,TCP,62907,53,88,1750930524.579673,0,0,1
192.168.29.59,192.168.29.1,TCP,62908,53,88,1750930524.579674,0,0,1
192.168.29.59,192.168.29.1,TCP,62906,53,88,1750930524.579792,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62907,54,1750930524.599064,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62907,55,1750930524.599064,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62908,54,1750930524.599064,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62906,54,1750930524.599064,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62906,55,1750930524.599064,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62908,55,1750930524.617647,0,0,1
192.168.29.59,192.168.29.1,TCP,62907,53,54,1750930524.644686,0,0,1
192.168.29.59,192.168.29.1,TCP,62906,53,54,1750930524.64481,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62907,103,1750930524.647533,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62906,115,1750930524.648097,0,0,1
192.168.29.59,192.168.29.1,TCP,62907,53,54,1750930524.648822,0,0,1
